order_item_id,order_id,product_id,quantity,unit_price
1,1001,101,2,29.99
2,1001,105,1,39.99
3,1002,102,1,89.99
4,1002,106,2,34.99
5,1003,103,1,49.99
6,1003,110,1,129.99
7,1004,104,1,249.99
8,1005,107,1,199.99
9,1006,108,1,149.99
10,1006,109,1,79.99
11,1007,101,3,29.99
12,1007,105,2,39.99
13,1008,106,1,34.99
14,1009,107,1,199.99
15,1009,103,2,49.99
16,1010,102,1,89.99
17,1010,109,1,79.99
18,1011,110,2,129.99
19,1012,108,1,149.99
20,1013,104,1,249.99
21,1013,101,1,29.99
22,1014,105,1,39.99
23,1014,106,1,34.99
24,1015,103,1,49.99
